ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,23,50,1,0,102,102,10200,102,5100
1,125,23,50,1,0,102,102,20400,0,5100
1,125,23,50,1,0,102,102,30600,0,5100
1,125,24,50,1,0,101,101,40700,-1,5050
1,125,26,50,1,0,99,99,50600,-2,4950
1,125,28,50,1,0,97,97,60300,-2,4850
1,125,29,50,1,0,96,96,69900,-1,4800
1,125,32,50,1,0,93,93,79200,-3,4650
1,125,35,50,1,0,90,90,88200,-3,4500
1,125,37,50,1,0,88,88,97000,-2,4400
1,125,39,50,1,0,86,86,105600,-2,4300
1,125,41,50,1,0,84,84,114000,-2,4200
1,125,44,50,1,0,81,81,122100,-3,4050
1,125,48,50,1,0,77,77,129800,-4,3850
1,125,50,50,1,0,75,75,137300,-2,3750
1,125,52,50,1,0,73,73,144600,-2,3650
1,125,55,50,1,0,70,70,151600,-3,3500
1,125,57,50,1,0,68,68,158400,-2,3400
1,125,61,50,1,0,64,64,164800,-4,3200
1,125,64,50,1,0,61,61,170900,-3,3050
1,125,66,50,1,0,59,59,176800,-2,2950
1,125,69,50,1,0,56,56,182400,-3,2800
1,125,72,50,1,0,53,53,187700,-3,2650
1,125,75,50,1,0,50,50,192700,-3,2500
1,125,77,50,1,0,48,48,197500,-2,2400
1,125,80,50,1,0,45,45,202000,-3,2250
1,125,82,50,1,0,43,43,206300,-2,2150
1,125,86,50,1,0,39,39,210200,-4,1950
1,125,88,50,1,0,37,37,213900,-2,1850
1,125,91,50,1,0,34,34,217300,-3,1700
1,125,93,50,1,0,32,32,220500,-2,1600
1,125,97,50,1,0,28,28,223300,-4,1400
1,125,99,50,1,0,26,26,225900,-2,1300
1,125,101,50,1,0,24,24,228300,-2,1200
1,125,103,50,1,0,22,22,230500,-2,1100
1,125,106,50,1,0,19,19,232400,-3,950
1,125,109,50,1,0,16,16,234000,-3,800
1,125,111,50,1,0,14,14,235400,-2,700
1,125,113,50,1,0,12,12,236600,-2,600
1,125,115,50,1,0,10,10,237600,-2,500
1,125,118,50,1,0,7,7,238300,-3,350
1,125,120,50,1,0,5,5,238800,-2,250
1,125,122,50,1,0,3,3,239100,-2,150
1,125,124,50,1,0,1,1,239200,-2,50
1,125,126,50,1,0,-1,-1,239100,-2,-50
1,125,129,50,1,0,-4,-4,238700,-3,-200
1,125,131,50,1,0,-6,-6,238100,-2,-300
1,125,132,50,1,0,-7,-7,237400,-1,-350
1,125,133,50,1,0,-8,-8,236600,-1,-400
1,125,133,50,1,0,-8,-8,235800,0,-400
1,125,134,50,1,0,-9,-9,234900,-1,-450
1,125,133,50,1,0,-8,-8,234100,1,-400
1,125,133,50,1,0,-8,-8,233300,0,-400
1,125,132,50,1,0,-7,-7,232600,1,-350
1,125,132,50,1,0,-7,-7,231900,0,-350
1,125,131,50,1,0,-6,-6,231300,1,-300
1,125,130,50,1,0,-5,-5,230800,1,-250
1,125,130,50,1,0,-5,-5,230300,0,-250
1,125,128,50,1,0,-3,-3,230000,2,-150
1,125,128,50,1,0,-3,-3,229700,0,-150
1,125,127,50,1,0,-2,-2,229500,1,-100
1,125,126,50,1,0,-1,-1,229400,1,-50
1,125,125,50,1,0,0,0,229400,1,0
1,125,124,50,1,0,1,1,229500,1,50
1,125,123,50,1,0,2,2,229700,1,100
1,125,123,50,1,0,2,2,229900,0,100
1,125,122,50,1,0,3,3,230200,1,150
1,125,123,50,1,0,2,2,230400,-1,100
1,125,124,50,1,0,1,1,230500,-1,50
1,125,125,50,1,0,0,0,230500,-1,0
1,125,126,50,1,0,-1,-1,230400,-1,-50
1,125,127,50,1,0,-2,-2,230200,-1,-100
1,125,128,50,1,0,-3,-3,229900,-1,-150
1,125,129,50,1,0,-4,-4,229500,-1,-200
1,125,129,50,1,0,-4,-4,229100,0,-200
1,125,128,50,1,0,-3,-3,228800,1,-150
1,125,128,50,1,0,-3,-3,228500,0,-150
1,125,127,50,1,0,-2,-2,228300,1,-100
1,125,126,50,1,0,-1,-1,228200,1,-50
1,125,126,50,1,0,-1,-1,228100,0,-50
1,125,125,50,1,0,0,0,228100,1,0
1,125,124,50,1,0,1,1,228200,1,50
1,125,123,50,1,0,2,2,228400,1,100
1,125,123,50,1,0,2,2,228600,0,100
1,125,122,50,1,0,3,3,228900,1,150
1,125,122,50,1,0,3,3,229200,0,150
1,125,124,50,1,0,1,1,229300,-2,50
1,125,125,50,1,0,0,0,229300,-1,0
1,125,126,50,1,0,-1,-1,229200,-1,-50
1,125,127,50,1,0,-2,-2,229000,-1,-100
1,125,128,50,1,0,-3,-3,228700,-1,-150
1,125,129,50,1,0,-4,-4,228300,-1,-200
1,125,129,50,1,0,-4,-4,227900,0,-200
1,125,128,50,1,0,-3,-3,227600,1,-150
1,125,128,50,1,0,-3,-3,227300,0,-150
1,125,127,50,1,0,-2,-2,227100,1,-100
1,125,127,50,1,0,-2,-2,226900,0,-100
1,125,126,50,1,0,-1,-1,226800,1,-50
1,125,125,50,1,0,0,0,226800,1,0
1,125,124,50,1,0,1,1,226900,1,50
1,125,123,50,1,0,2,2,227100,1,100
1,125,123,50,1,0,2,2,227300,0,100
1,125,123,50,1,0,2,2,227500,0,100
1,125,123,50,1,0,2,2,227700,0,100
1,125,124,50,1,0,1,1,227800,-1,50
1,125,125,50,1,0,0,0,227800,-1,0
1,125,126,50,1,0,-1,-1,227700,-1,-50
1,125,127,50,1,0,-2,-2,227500,-1,-100
1,125,129,50,1,0,-4,-4,227100,-2,-200
1,125,129,50,1,0,-4,-4,226700,0,-200
1,125,129,50,1,0,-4,-4,226300,0,-200
1,125,129,50,1,0,-4,-4,225900,0,-200
1,125,128,50,1,0,-3,-3,225600,1,-150
1,125,127,50,1,0,-2,-2,225400,1,-100
1,125,127,50,1,0,-2,-2,225200,0,-100
1,125,126,50,1,0,-1,-1,225100,1,-50
1,125,125,50,1,0,0,0,225100,1,0
1,125,124,50,1,0,1,1,225200,1,50
1,125,124,50,1,0,1,1,225300,0,50
1,125,123,50,1,0,2,2,225500,1,100
1,125,123,50,1,0,2,2,225700,0,100
1,125,123,50,1,0,2,2,225900,0,100
1,125,124,50,1,0,1,1,226000,-1,50
1,125,125,50,1,0,0,0,226000,-1,0
1,125,126,50,1,0,-1,-1,225900,-1,-50
1,125,127,50,1,0,-2,-2,225700,-1,-100
1,125,129,50,1,0,-4,-4,225300,-2,-200
1,125,129,50,1,0,-4,-4,224900,0,-200
1,125,129,50,1,0,-4,-4,224500,0,-200
1,125,129,50,1,0,-4,-4,224100,0,-200
1,125,128,50,1,0,-3,-3,223800,1,-150
1,125,127,50,1,0,-2,-2,223600,1,-100
1,125,127,50,1,0,-2,-2,223400,0,-100
1,125,126,50,1,0,-1,-1,223300,1,-50
1,125,125,50,1,0,0,0,223300,1,0
1,125,124,50,1,0,1,1,223400,1,50
1,125,124,50,1,0,1,1,223500,0,50
1,125,123,50,1,0,2,2,223700,1,100
1,125,123,50,1,0,2,2,223900,0,100
1,125,124,50,1,0,1,1,224000,-1,50
1,125,124,50,1,0,1,1,224100,0,50
1,125,125,50,1,0,0,0,224100,-1,0
1,125,127,50,1,0,-2,-2,223900,-2,-100
1,125,128,50,1,0,-3,-3,223600,-1,-150
1,125,129,50,1,0,-4,-4,223200,-1,-200
1,125,129,50,1,0,-4,-4,222800,0,-200
1,125,129,50,1,0,-4,-4,222400,0,-200
1,125,129,50,1,0,-4,-4,222000,0,-200
1,125,129,50,1,0,-4,-4,221600,0,-200
1,125,128,50,1,0,-3,-3,221300,1,-150
1,125,127,50,1,0,-2,-2,221100,1,-100
1,125,127,50,1,0,-2,-2,220900,0,-100
1,125,126,50,1,0,-1,-1,220800,1,-50
1,125,125,50,1,0,0,0,220800,1,0
1,125,124,50,1,0,1,1,220900,1,50
1,125,123,50,1,0,2,2,221100,1,100
1,125,123,50,1,0,2,2,221300,0,100
1,125,122,50,1,0,3,3,221600,1,150
1,125,123,50,1,0,2,2,221800,-1,100
1,125,124,50,1,0,1,1,221900,-1,50
1,125,125,50,1,0,0,0,221900,-1,0
1,125,126,50,1,0,-1,-1,221800,-1,-50
1,125,127,50,1,0,-2,-2,221600,-1,-100
1,125,129,50,1,0,-4,-4,221200,-2,-200
1,125,129,50,1,0,-4,-4,220800,0,-200
1,125,129,50,1,0,-4,-4,220400,0,-200
1,125,129,50,1,0,-4,-4,220000,0,-200
1,125,128,50,1,0,-3,-3,219700,1,-150
1,125,128,50,1,0,-3,-3,219400,0,-150
