ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,80,76,180,50,80,4,4,4,4,1040
1,80,76,180,50,80,4,4,8,0,720
1,80,76,180,50,80,4,4,12,0,720
1,80,76,180,50,80,4,4,16,0,720
1,80,77,180,50,80,3,3,19,-1,460
1,80,79,180,50,80,1,1,20,-2,20
1,80,80,180,50,80,0,0,20,-1,-80
1,80,82,180,50,80,-2,-2,18,-2,-520
1,80,84,180,50,80,-4,-4,14,-2,-880
1,80,85,180,50,80,-5,-5,9,-1,-980
1,80,86,180,50,80,-6,-6,3,-1,-1160
1,80,86,180,50,80,-6,-6,-3,0,-1080
1,80,86,180,50,80,-6,-6,-9,0,-1080
1,80,86,180,50,80,-6,-6,-15,0,-1080
1,80,85,180,50,80,-5,-5,-20,1,-820
1,80,85,180,50,80,-5,-5,-25,0,-900
1,80,85,180,50,80,-5,-5,-30,0,-900
1,80,84,180,50,80,-4,-4,-34,1,-640
1,80,84,180,50,80,-4,-4,-38,0,-720
1,80,83,180,50,80,-3,-3,-41,1,-460
1,80,83,180,50,80,-3,-3,-44,0,-540
1,80,82,180,50,80,-2,-2,-46,1,-280
1,80,82,180,50,80,-2,-2,-48,0,-360
1,80,82,180,50,80,-2,-2,-50,0,-361
1,80,81,180,50,80,-1,-1,-51,1,-101
1,80,81,180,50,80,-1,-1,-52,0,-181
1,80,80,180,50,80,0,0,-52,1,79
1,80,79,180,50,80,1,1,-51,1,259
1,80,79,180,50,80,1,1,-50,0,179
1,80,80,180,50,80,0,0,-50,-1,-81
1,80,80,180,50,80,0,0,-50,0,-1
1,80,82,180,50,80,-2,-2,-52,-2,-521
1,80,83,180,50,80,-3,-3,-55,-1,-621
1,80,83,180,50,80,-3,-3,-58,0,-541
1,80,83,180,50,80,-3,-3,-61,0,-541
1,80,83,180,50,80,-3,-3,-64,0,-541
1,80,83,180,50,80,-3,-3,-67,0,-541
1,80,82,180,50,80,-2,-2,-69,1,-281
1,80,82,180,50,80,-2,-2,-71,0,-361
1,80,82,180,50,80,-2,-2,-73,0,-361
1,80,81,180,50,80,-1,-1,-74,1,-101
1,80,81,180,50,80,-1,-1,-75,0,-181
1,80,80,180,50,80,0,0,-75,1,79
1,80,80,180,50,80,0,0,-75,0,-1
1,80,80,180,50,80,0,0,-75,0,-1
1,80,80,180,50,80,0,0,-75,0,-1
1,80,80,180,50,80,0,0,-75,0,-1
1,80,80,180,50,80,0,0,-75,0,-1
1,80,80,180,50,80,0,0,-75,0,-1
1,80,79,180,50,80,1,1,-74,1,259
1,80,79,180,50,80,1,1,-73,0,179
1,80,79,180,50,80,1,1,-72,0,179
1,80,79,180,50,80,1,1,-71,0,179
1,80,80,180,50,80,0,0,-71,-1,-81
1,80,82,180,50,80,-2,-2,-73,-2,-521
1,80,83,180,50,80,-3,-3,-76,-1,-621
